name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard,fantasy_points_ppr,player_id
Cade Otton,TAM,TE,24,17,17,0,0,0,0,0,0,67,47,455,4,1,1,1,,70,116.5,OttoCa00
Dameon Pierce,HOU,RB,23,14,7,0,0,0,145,416,2,17,13,101,0,0,0,,,70,82.7,PierDa01
Noah Brown,HOU,WR,27,10,7,0,0,0,1,-1,0,55,33,567,2,0,0,,,69,101.6,BrowNo00
Josh Palmer,LAC,WR,24,10,6,0,0,0,1,6,0,61,38,581,2,1,1,,,69,106.7,PalmJo00
Bailey Zappe,NWE,QB,24,10,6,1272,6,9,17,83,1,0,0,0,0,2,1,,,69,69.2,ZappBa00
Roschon Johnson,CHI,RB,22,15,0,0,0,0,81,352,2,40,34,209,0,1,0,,,68,102.1,JohnRo07
Easton Stick,LAC,QB,28,5,4,1129,3,1,27,144,1,0,0,0,0,5,4,,,68,67.6,SticEa00
Kenneth Gainwell,PHI,RB,24,16,2,17,0,0,84,364,2,37,30,183,0,3,1,1,,67,97.4,GainKe00
Nick Mullens,MIN,QB,28,5,3,1306,7,8,10,25,0,0,0,0,0,2,0,,,67,66.7,MullNi00
Taylor Heinicke,ATL,QB,30,5,4,890,5,4,15,124,1,0,0,0,0,1,0,,,66,66.0,HeinTa00
Latavius Murray,BUF,RB,33,16,4,0,0,0,79,300,4,22,17,119,0,1,0,,,66,82.9,MurrLa00
Rondale Moore,ARI,WR,23,17,8,0,0,0,28,178,1,62,40,352,1,1,0,,,65,105.0,MoorRo02
Jimmy Garoppolo,LVR,QB,32,7,6,1205,7,9,20,39,0,0,0,0,0,1,0,,1,64,64.1,GaroJi00
Kendrick Bourne,NWE,WR,28,8,5,0,0,0,1,4,0,55,37,406,4,1,1,,,63,100.0,BourKe00
Alec Pierce,IND,WR,23,17,16,0,0,0,0,0,0,65,32,514,2,0,0,,,63,95.4,PierAl00
Nelson Agholor,BAL,WR,30,17,3,0,0,0,0,0,0,45,35,381,4,1,0,,,62,97.1,AghoNe00
Tyler Conklin,NYJ,TE,28,17,12,0,0,0,1,0,0,87,61,621,0,0,0,,,62,123.1,ConkTy00
Tyler Higbee,LAR,TE,30,15,15,0,0,0,0,0,0,70,47,495,2,0,0,,,62,108.5,HigbTy00
Kalif Raymond,DET,WR,29,17,3,0,0,0,7,75,0,44,35,489,1,1,0,,,62,97.4,RaymKa00
Justin Watson,KAN,WR,28,16,8,0,0,0,0,0,0,53,27,460,3,1,1,,,62,89.0,WatsJu01
Juwan Johnson,NOR,TE,27,13,11,0,0,0,0,0,0,59,37,368,4,0,0,,,61,97.8,JohnJu02
Keaton Mitchell,BAL,RB,21,8,2,0,0,0,47,396,2,11,9,93,0,0,0,,,61,69.9,MitcKe01
Demarcus Robinson,LAR,WR,29,16,4,0,0,0,1,23,0,39,26,371,4,2,1,,,61,87.4,RobiDe01
Miles Sanders,CAR,RB,26,16,5,0,0,0,129,432,1,41,27,154,0,2,2,,,61,87.6,SandMi01
Darren Waller,NYG,TE,31,12,11,0,0,0,0,0,0,74,52,552,1,0,0,,,61,113.2,WallDa01
Gerald Everett,LAC,TE,29,15,12,0,0,0,3,10,0,70,51,411,3,3,0,,,60,111.1,EverGe00
Jerick McKinnon,KAN,RB,31,12,0,4,1,0,21,60,1,32,25,192,4,0,0,,,59,84.4,McKiJe00
Chigoziem Okonkwo,TEN,TE,24,17,11,0,0,0,2,6,0,77,54,528,1,0,0,,,59,113.4,OkonCh00
Zamir White,LVR,RB,24,17,4,0,0,0,104,451,1,19,15,98,0,1,1,,,59,73.9,WhitZa01
Demario Douglas,NWE,WR,23,14,7,0,0,0,8,41,0,79,49,561,0,3,1,,,58,107.2,DougDe00
Daniel Jones,NYG,QB,26,6,6,909,2,6,40,206,1,0,0,0,0,4,1,,,57,57.0,JoneDa05
Trey Palmer,TAM,WR,22,17,8,0,0,0,3,22,0,68,39,385,3,3,1,,,57,95.7,PalmTr00
Nick Westbrook-Ikhine,TEN,WR,26,14,9,0,0,0,0,0,0,45,28,370,3,0,0,1,,57,85.0,WestNi00
Quentin Johnston,LAC,WR,22,17,10,0,0,0,3,9,0,67,38,431,2,0,0,,,56,94.0,JohnQu02
Jameson Williams,DET,WR,22,12,10,0,0,0,3,29,1,42,24,354,2,1,0,,,56,80.3,WillJa11
Michael Gallup,DAL,WR,27,17,13,0,0,0,0,0,0,57,34,418,2,0,0,,,54,87.8,GallMi00
Brandon Johnson,DEN,WR,25,13,2,0,0,0,0,0,0,30,19,284,4,0,0,1,,54,73.4,JohnBr23
Joshua Kelley,LAC,RB,26,17,3,0,0,0,107,405,2,12,8,32,0,1,1,,,54,61.7,KellJo01
Tyson Bagent,CHI,QB,23,5,4,859,3,6,23,109,2,0,0,0,0,3,2,,,53,53.3,BageTy00
Clyde Edwards-Helaire,KAN,RB,24,15,3,0,0,0,70,223,1,22,17,188,1,0,0,,,53,70.1,EdwaCl00
Donald Parham,LAC,TE,26,14,8,0,0,0,0,0,0,41,27,285,4,0,0,,,53,79.5,ParhDo00
Tre Tucker,LVR,WR,22,16,1,0,0,0,10,77,0,34,19,331,2,0,0,,,53,71.8,TuckTr00
Emari Demercado,ARI,RB,24,14,2,0,0,0,58,284,2,30,21,119,0,0,0,,,52,73.3,DemeEm00
Michael Thomas,NOR,WR,30,10,7,0,0,0,0,0,0,64,39,448,1,0,0,,,51,89.8,ThomMi05
Marvin Mims*,DEN,WR,21,16,7,0,0,0,9,30,0,33,22,377,1,2,2,,,49,70.7,MimsMa00
A.T. Perry,NOR,WR,24,10,3,0,0,0,0,0,0,18,12,246,4,0,0,,,49,60.6,PerrAT00
Mitchell Trubisky,PIT,QB,29,5,2,632,4,5,16,54,2,0,0,0,0,1,1,,1,49,48.7,TrubMi00
Robert Woods,HOU,WR,31,14,11,0,0,0,1,7,0,75,40,426,1,0,0,,,49,89.3,WoodRo02
Tucker Kraft,GNB,TE,23,17,8,0,0,0,0,0,0,40,31,355,2,0,0,,,48,78.5,KrafTu00
