player_name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard,fantasy_points_ppr,position_rank,overall_rank,player_id
Bryce Young,CAR,QB,22,16,16,2877,11,10,39,253,0,0,0,0,0,11,6,1,1,1560,1564,23,0,YounBr01
Kirk Cousins,MIN,QB,35,8,8,2331,18,5,14,25,0,0,0,0,0,7,4,0,0,1500,1497,24,0,CousKi00
Joe Burrow,CIN,QB,27,10,10,2309,15,6,31,88,0,0,0,0,0,2,1,0,0,1470,1472,25,0,BurrJo01
Kyler Murray,ARI,QB,26,8,8,1799,10,5,44,244,3,0,0,0,0,7,0,0,1,1460,1464,26,0,MurrKy00
Chuba Hubbard,CAR,RB,24,17,12,0,0,0,238,902,5,44,39,233,0,1,0,0,0,1440,1825,26,0,HubbCh01
Josh Jacobs,LVR,RB,25,13,13,0,0,0,233,805,6,54,37,296,0,3,1,0,0,1440,1811,25,0,JacoJo01
Jake Browning,CIN,QB,27,9,7,1936,12,7,27,127,3,1,1,-7,0,3,0,0,1,1430,1444,27,0,BrowJa08
Zack Moss,IND,RB,26,14,8,0,0,0,183,794,5,37,27,192,2,0,0,1,0,1430,1696,27,0,MossZa00
Devin Singletary,HOU,RB,26,17,10,6,1,0,216,898,4,38,30,193,0,1,0,0,0,1370,1673,29,0,SingDe00
Jonathan Taylor,IND,RB,24,10,7,0,0,0,169,741,7,23,19,153,1,1,0,0,0,1370,1564,28,0,TaylJo02
Jaylen Warren,PIT,RB,25,17,0,0,0,0,149,784,4,74,61,370,0,4,2,0,0,1350,1964,30,0,WarrJa01
Austin Ekeler,LAC,RB,28,14,14,0,0,0,179,628,5,74,51,436,1,5,4,0,0,1340,1854,31,0,EkelAu00
Javonte Williams,DEN,RB,23,16,13,0,0,0,217,774,3,58,47,228,2,1,1,2,0,1320,1792,32,0,WillJa10
Zay Flowers,BAL,WR,23,16,16,0,0,0,8,56,1,108,77,858,5,0,0,1,0,1290,2064,30,0,FlowZa00
Adam Thielen,CAR,WR,33,17,17,0,0,0,1,6,0,137,103,1014,4,2,0,1,0,1280,2310,31,0,ThieAd00
Jaylen Waddle,MIA,WR,25,14,14,0,0,0,3,12,0,104,72,1014,4,0,0,0,0,1270,1986,32,0,WaddJa00
